模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
happyhorse-1.0-i2v,sfm_inferenceHH_public_cn_20260421145700_0769,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.1-t2v,sfm_inferenceHH_public_cn_20260621213600_0954,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.0-t2v,sfm_inferenceHH_public_cn_20260421145744_0729,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.1-r2v,sfm_inferenceHH_public_cn_20260621213756_0665,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.0-r2v,sfm_inferenceHH_public_cn_20260425163749_0773,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
qwen-audio-3.0-realtime-flash,sfm_inferenceFunAudio_public_cn_20260708100720_0276,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-audio-3.0-realtime-plus,sfm_inferenceFunAudio_public_cn_20260708100428_0058,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.7-plus,sfm_inference_public_cn_20260601221800_0326,llm,1M tokens,1M tokens,0%,0,2026-10-21,剩余 55 天,exhaust,off,True,0.0,1000000.0
qwen3.7-plus-2026-05-26,sfm_inference_public_cn_20260601221633_0349,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-image-2.0-pro,sfm_inference_public_cn_20260303093729_0647,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-2.0-pro-2026-06-22,sfm_inference_public_cn_20260623165504_0562,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-2.0-pro-2026-04-22,sfm_inference_public_cn_20260423170115_0502,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-2.0-pro-2026-03-03,sfm_inference_public_cn_20260303093803_0951,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
wan2.7-i2v,sfm_inferenceWan_public_cn_20260326145928_0864,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.6-i2v-flash,sfm_inference_public_cn_20260115150617_0797,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.6-i2v,sfm_inference_public_cn_20251203153107_0272,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.5-i2v-preview,sfm_inference_public_cn_20251111100536_0521,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-animate-move,sfm_inference_public_cn_20251111100519_0047,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-animate-mix,sfm_inference_public_cn_20251111100517_0226,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-kf2v-flash,sfm_inference_public_cn_20251111100523_0541,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-s2v,sfm_inference_public_cn_20251111100525_0064,visual,100 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
wan2.2-i2v-flash,sfm_inference_public_cn_20251111100520_0525,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-i2v-plus,sfm_inference_public_cn_20251111100522_0114,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wanx2.1-kf2v-plus,sfm_inference_public_cn_20251111100555_0363,llm,200 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
wanx2.1-i2v-turbo,sfm_inference_public_cn_20251111100552_0090,llm,200 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
wanx2.1-i2v-plus,sfm_inference_public_cn_20251111100550_0798,llm,200 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
wan2.7-i2v-2026-04-25,sfm_inferenceWan_public_cn_20260425131952_0231,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.7-t2v,sfm_inferenceWan_public_cn_20260326145858_0607,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.6-t2v,sfm_inference_public_cn_20251203153020_0682,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.5-t2v-preview,sfm_inference_public_cn_20251111100539_0656,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.2-t2v-plus,sfm_inference_public_cn_20251111100533_0133,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wanx2.1-t2v-plus,sfm_inference_public_cn_20251111100600_0527,llm,200 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
wanx2.1-t2v-turbo,sfm_inference_public_cn_20251111100601_0448,llm,200 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,200.0,200.0
wan2.7-t2v-2026-06-12,sfm_inferenceWan_public_cn_20260630215659_0596,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.7-t2v-2026-04-25,sfm_inferenceWan_public_cn_20260425131856_0216,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.7-videoedit,sfm_inferenceWan_public_cn_20260326150023_0357,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.7-image-pro,sfm_inferenceWan_public_cn_20260326145735_0813,visual,50 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.7-image,sfm_inferenceWan_public_cn_20260326145702_0892,visual,50 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.6-image,sfm_inference_public_cn_20251215150851_0061,visual,50 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.5-i2i-preview,sfm_inference_public_cn_20251111100534_0083,visual,50 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wanx2.1-imageedit,sfm_inference_public_cn_20251111100553_0813,visual,500 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,500.0,500.0
qwen3.7-max,sfm_inference_public_cn_20260520151353_0250,llm,1M tokens,5.8K tokens,99.42%,99.42,2026-10-21,剩余 55 天,valid,off,True,994154.0,1000000.0
qwen3.7-max-2026-06-08,sfm_inference_public_cn_20260609102633_0450,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.7-max-2026-05-20,sfm_inference_public_cn_20260521112222_0330,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.7-max-2026-05-17,sfm_inference_public_cn_20260525133452_0429,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.7-max-preview,sfm_inference_public_cn_20260525133537_0069,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.7-flash,sfm_inference_public_cn_20260721140444_0345,llm,1M tokens,0 tokens,100%,100,2026-10-23,剩余 57 天,valid,off,True,1000000.0,1000000.0
qwen3.7-flash-2026-07-15,sfm_inference_public_cn_20260721140528_0612,llm,1M tokens,0 tokens,100%,100,2026-10-23,剩余 57 天,valid,off,True,1000000.0,1000000.0
qwen3.6-max-preview,sfm_inference_public_cn_20260420151503_0818,llm,1M tokens,259 tokens,99.97%,99.97,2026-10-21,剩余 55 天,valid,off,True,999741.0,1000000.0
qwen3.6-plus,sfm_inference_public_cn_20260401162352_0515,llm,1M tokens,6.7K tokens,99.33%,99.33,2026-10-21,剩余 55 天,valid,off,True,993258.0,1000000.0
qwen3.6-plus-2026-04-02,sfm_inference_public_cn_20260401162446_0260,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-plus,sfm_inference_public_cn_20260215045049_0106,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-plus-2026-04-20,sfm_inference_public_cn_20260422160021_0243,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-plus-2026-02-15,sfm_inference_public_cn_20260215045145_0438,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-ocr,sfm_inferenceDomain_public_cn_20260603171659_0906,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-plus,sfm_inferenceOmni_public_cn_20260312141323_0256,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-plus-2026-03-15,sfm_inferenceOmni_public_cn_20260312141522_0098,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-flash,sfm_inferenceOmni_public_cn_20260312141051_0270,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-omni-flash-2026-03-15,sfm_inferenceOmni_public_cn_20260312140947_0182,multimodal,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
cosyvoice-v3.5-plus,sfm_inferenceFunAudio_public_cn_20260209195836_0362,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
cosyvoice-v3.5-flash,sfm_inferenceFunAudio_public_cn_20260209195754_0474,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
cosyvoice-v3-flash,sfm_inference_public_cn_20251114171757_0884,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
cosyvoice-v3-plus,sfm_inference_public_cn_20251111095836_0149,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
cosyvoice-v1,sfm_inference_public_cn_20251111095832_0733,speech,10K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,10000.0,10000.0
cosyvoice-clone-v1,sfm_inference_public_cn_20251111095831_0221,speech,10K chars,0 chars,100%,100,2099-01-01,永不过期,valid,off,True,10000.0,10000.0
cosyvoice-v2,sfm_inference_public_cn_20251111095833_0135,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
glm-5.2,sfm_inference_public_cn_20260615234744_0553,llm,1M tokens,1M tokens,0%,0,2026-10-21,剩余 55 天,exhaust,off,True,0.0,1000000.0
glm-5.1,sfm_inference_public_cn_20260409105926_0489,llm,1M tokens,1M tokens,0%,0,2026-10-21,剩余 55 天,exhaust,off,True,0.0,1000000.0
glm-5,sfm_inference_public_cn_20260212164121_0581,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
glm-4.7,sfm_inference_public_cn_20251224183032_0169,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
glm-4.6,sfm_inference_public_cn_20251111100607_0681,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
glm-4.5-air,sfm_inference_public_cn_20251111095901_0962,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
glm-4.5,sfm_inference_public_cn_20251111095900_0797,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-flash,sfm_inference_public_cn_20260221220800_0065,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-flash-2026-02-23,sfm_inference_public_cn_20260221220855_0363,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-max,sfm_inference_public_cn_20251114120219_0844,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-max-preview,sfm_inference_public_cn_20251111100308_0110,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-max-2026-01-23,sfm_inference_public_cn_20260123132155_0286,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-max-2025-09-23,sfm_inference_public_cn_20251111100305_0574,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
fun-asr-realtime-2026-02-28,sfm_inferenceFunAudio_public_cn_20260227135226_0766,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
happyhorse-1.0-video-edit,sfm_inferenceHH_public_cn_20260425163648_0705,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
qwen-image-2.0,sfm_inference_public_cn_20260303093533_0066,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-2.0-2026-03-03,sfm_inference_public_cn_20260303093649_0333,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen3.6-27b,sfm_inference_public_cn_20260422180240_0063,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.6-35b-a3b,sfm_inference_public_cn_20260416180256_0471,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.6-flash,sfm_inference_public_cn_20260416180107_0169,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.6-flash-2026-04-16,sfm_inference_public_cn_20260416180422_0047,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
fun-asr,sfm_inference_public_cn_20251111095852_0547,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-mtl,sfm_inference_public_cn_20251111095855_0954,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-2025-11-07,sfm_inference_public_cn_20251114160110_0311,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-mtl-2025-08-25,sfm_inference_public_cn_20251111095856_0226,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-2025-08-25,sfm_inference_public_cn_20251111095853_0008,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
fun-asr-flash-2026-06-15,sfm_inferenceFunAudio_public_cn_20260610163509_0799,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen-image-edit-max,sfm_inference_public_cn_20260115143351_0096,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-edit-max-2026-01-16,sfm_inference_public_cn_20260115143434_0450,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-plus,sfm_inference_public_cn_20251111095946_0654,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image,sfm_inference_public_cn_20251111095941_0407,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-plus-2026-01-09,sfm_inference_public_cn_20260109110451_0338,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
wan2.7-r2v-2026-06-12,sfm_inferenceWan_public_cn_20260630215755_0062,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.7-r2v,sfm_inferenceWan_public_cn_20260326145954_0428,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.6-r2v-flash,sfm_inference_public_cn_20260129165003_0955,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
wan2.6-r2v,sfm_inference_public_cn_20251215150715_0740,visual,50 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,50.0,50.0
qwen-image-max,sfm_inference_public_cn_20251230150035_0053,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-max-2025-12-30,sfm_inference_public_cn_20251230150230_0323,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-edit-plus-2025-12-15,sfm_inference_public_cn_20251215133021_0830,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-edit-plus-2025-10-30,sfm_inference_public_cn_20251111095945_0903,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-edit-plus,sfm_inference_public_cn_20251111095944_0318,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-image-edit,sfm_inference_public_cn_20251111095943_0911,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-vl-ocr,sfm_inference_public_cn_20251111100118_0385,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-ocr-latest,sfm_inference_public_cn_20251111100124_0697,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-ocr-2025-11-20,sfm_inference_public_cn_20251119122217_0494,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-ocr-2025-08-28,sfm_inference_public_cn_20251111100122_0750,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-ocr-2025-04-13,sfm_inference_public_cn_20251111100121_0039,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-ocr-1028,sfm_inference_public_cn_20251111100119_0864,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-mt-lite,sfm_inference_public_cn_20251124181742_0989,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-asr-flash-filetrans,sfm_inference_public_cn_20251117101810_0700,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen3-asr-flash-filetrans-2025-11-17,sfm_inference_public_cn_20251117102109_0462,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen-mt-flash,sfm_inference_public_cn_20251112141501_0213,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-mt-image,sfm_inference_public_cn_20251111100009_0364,visual,100 images,0 images,100%,100,2026-10-21,剩余 55 天,valid,off,True,100.0,100.0
qwen-mt-plus,sfm_inference_public_cn_20251111100010_0871,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-mt-turbo,sfm_inference_public_cn_20251111100012_0160,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-plus,sfm_inference_public_cn_20251111100256_0206,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-plus-2025-09-23,sfm_inference_public_cn_20251111100259_0897,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-plus-2025-07-22,sfm_inference_public_cn_20251111100258_0787,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-asr-flash,sfm_inference_public_cn_20251111100615_0957,speech,36K seconds,0 seconds,100%,100,2027-01-19,剩余 145 天,valid,off,True,36000.0,36000.0
qwen3-asr-flash-2026-02-10,sfm_inferenceQwenAudio_public_cn_20260226151611_0597,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen3-asr-flash-2025-09-08,sfm_inference_public_cn_20251113181604_0360,speech,36K seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,36000.0,36000.0
qwen3-coder-flash,sfm_inference_public_cn_20251111100254_0233,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-flash-2025-07-28,sfm_inference_public_cn_20251111100255_0841,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-30b-a3b-instruct,sfm_inference_public_cn_20251111100251_0353,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-480b-a35b-instruct,sfm_inference_public_cn_20251111100252_0108,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-flash-character,sfm_inferenceDomain_public_cn_20260107182418_0955,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-flash-character-2026-02-26,sfm_inferenceDomain_public_cn_20260226200806_0836,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-27b,sfm_inference_public_cn_20260221221051_0019,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-122b-a10b,sfm_inference_public_cn_20260221220955_0725,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-35b-a3b,sfm_inference_public_cn_20260221221145_0963,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3.5-397b-a17b,sfm_inference_public_cn_20260215045239_0577,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-coder-next,sfm_inference_public_cn_20260202094508_0349,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-32b-thinking,sfm_inference_public_cn_20251111100331_0147,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-32b-instruct,sfm_inference_public_cn_20251111100329_0015,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-30b-a3b-thinking,sfm_inference_public_cn_20251111100327_0890,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-30b-a3b-instruct,sfm_inference_public_cn_20251111100325_0459,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-8b-thinking,sfm_inference_public_cn_20251111100335_0842,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-8b-instruct,sfm_inference_public_cn_20251111100333_0948,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-235b-a22b-thinking,sfm_inference_public_cn_20251111100324_0951,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-vl-235b-a22b-instruct,sfm_inference_public_cn_20251111100322_0324,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-next-80b-a3b-instruct,sfm_inference_public_cn_20251111100309_0038,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-next-80b-a3b-thinking,sfm_inference_public_cn_20251111100311_0455,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-30b-a3b-thinking-2507,sfm_inference_public_cn_20251111100242_0767,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-30b-a3b-instruct-2507,sfm_inference_public_cn_20251111100241_0294,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-235b-a22b-thinking-2507,sfm_inference_public_cn_20251111100238_0475,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-235b-a22b-instruct-2507,sfm_inference_public_cn_20251111100237_0880,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-235b-a22b,sfm_inference_public_cn_20251111100235_0956,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-30b-a3b,sfm_inference_public_cn_20251111100239_0909,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-32b,sfm_inference_public_cn_20251111100244_0090,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-8b,sfm_inference_public_cn_20251111100247_0454,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-14b,sfm_inference_public_cn_20251111100234_0034,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen3-tts-instruct-flash,sfm_inferenceQwenAudio_public_cn_20260203190618_0646,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
qwen3-tts-instruct-flash-2026-01-26,sfm_inferenceQwenAudio_public_cn_20260203190705_0914,speech,10K chars,0 chars,100%,100,2026-10-21,剩余 55 天,valid,off,True,10000.0,10000.0
