模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen-turbo-latest,sfm_inference_public_cn_20251111100612_0459,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-0809,sfm_inference_public_cn_20251111100107_0895,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-1030,sfm_inference_public_cn_20251111100109_0938,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-1119,sfm_inference_public_cn_20251111100110_0621,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-1230,sfm_inference_public_cn_20251111100111_0313,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-2025-01-25,sfm_inference_public_cn_20251111100112_0466,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-2025-04-02,sfm_inference_public_cn_20251111100114_0654,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-2025-04-08,sfm_inference_public_cn_20251111100115_0189,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-2025-08-13,sfm_inference_public_cn_20251111100117_0888,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-max-latest,sfm_inference_public_cn_20251111100613_0970,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-plus-0102,sfm_inference_public_cn_20251111100127_0982,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
qwen-vl-plus-0809,sfm_inference_public_cn_20251111100128_0189,visual,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
